song_id,song_name,album_name,artist_name
7769,Happy Accident,"One Jug Of Wine, Two Vessels",Neva Dinova
9788,Contrast And Compare,Letting Off The Happiness,Bright Eyes
7741,When The President Talks To God,When The President Talks To God,Bright Eyes
9789,The Difference In The Shades,Letting Off The Happiness,Bright Eyes
7786,Make War (Short Version),Motion Sickness: Live Recordings,Bright Eyes
1965,The 'Feel Good' Revolution,A Collection Of Songs Written And Recorded 1995-1997,Bright Eyes
7810,A New Arrangement,Every Day And Every Night,Bright Eyes
1858,Loose Leaves,There Is No Beginning To The Story,Bright Eyes
11031,Cocaine Hurricane,Pillow Talk,Wild Child
9794,Tereza And Tomas,Letting Off The Happiness,Bright Eyes
7787,True Blue,Motion Sickness: Live Recordings,Bright Eyes
3986,Same Shit / Complicated,Thunder Thighs,Kimya Dawson
4333,Mess Me Around,Our House on the Hill,The Babies
461,My<Dsmbr (Mickey P. Reanimation) [feat. Kelli Ali],Reanimation,Linkin Park
457,P5hng Me A*wy (Mike Shinoda Reanimation) [feat. Stephen Richards],Reanimation,Linkin Park
10948,I Will Possess Your Heart,Narrow Stairs,Death Cab for Cutie
2689,Wake Me up When September Ends,American Idiot,Green Day
6608,Alive,Ten,Pearl Jam
3153,Sleepyhead,Manners,Passion Pit
3148,Little Secrets,Manners,Passion Pit
849,Sex on Fire,Only By The Night,Kings of Leon
847,Closer,Only By The Night,Kings of Leon
655,Take It From Me,Egomaniac,KONGOS
348,Afterlife,America EP,XYLØ
88,Peaches & Cream,Part III,112
7723,Where the Party At (feat. Nelly),Jagged Little Thrill,Jagged Edge
58,"Pop, Lock & Drop It - Video Edit",Notebook Paper,Huey
4203,Freek-A-Leek,Still Writing In My Diary: 2nd Entry,Petey Pablo
822,What's Luv? (feat. Ja-Rule & Ashanti),Jealous Ones Still Envy (J.O.S.E),Fat Joe
1515,U Remind Me,8701,Usher
3926,U Got It Bad,8701,Usher
3455,Oh (feat. Ludacris),Goodies,Ciara
3453,Goodies (feat. Petey Pablo),Goodies,Ciara
10471,Miami,Big Willie Style,Will Smith
3927,U Don't Have to Call,8701,Usher
6607,Even Flow,Ten,Pearl Jam
850,Use Somebody,Only By The Night,Kings of Leon
598,In The Air Tonight - 2015 Remastered,Face Value (Deluxe Editon),Phil Collins
470,Numb,Meteora,Linkin Park
291,In the End,Hybrid Theory (Bonus Edition),Linkin Park
466,Somewhere I Belong,Meteora,Linkin Park
467,Faint,Meteora,Linkin Park
468,Breaking the Habit,Meteora,Linkin Park
462,Krwlng (Mike Shinoda Reanimation) [feat. Aaron Lewis],Reanimation,Linkin Park
6348,Wu-Tang Clan Ain't Nuthing ta F' Wit,Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan
4134,Sound of Madness,The Sound of Madness (Deluxe Edition),Shinedown
9373,Harlem Shake,Harlem Shake,Baauer
11487,Hell & Back,Up & Away,Kid Ink
11476,No One Left,Up & Away,Kid Ink
1298,Bawitdaba,Devil Without a Cause,Kid Rock
4792,Shower,Shower,Becky G
6663,Am I Wrong,Black Star Elephant,Nico & Vinz
8403,Tear in My Heart,Blurryface,Twenty One Pilots
8396,Ride,Blurryface,Twenty One Pilots
330,Never Forget You,So Good,Zara Larsson
3454,"One, Two Step (feat. Missy Elliott)",Goodies,Ciara
6617,Love Song,Little Voice,Sara Bareilles
3362,Till the World Ends,Femme Fatale (Deluxe Version),Britney Spears
8622,Work from Home (feat. Ty Dolla $ign),7/27 (Deluxe),Fifth Harmony
695,Antidote,Rodeo (Expanded Edition),Travis Scott
11419,Low (feat. T-Pain),Mail on Sunday,Flo Rida
8404,The Judge,Blurryface,Twenty One Pilots
8401,Lane Boy,Blurryface,Twenty One Pilots
8575,Febreze (feat. 2 Chainz),Skrillex and Diplo present Jack Ü,Diplo
8670,2 Phones,Islah (Deluxe),Kevin Gates
8443,Work This Body,TALKING IS HARD,WALK THE MOON
10999,No Money,The Aviary,Galantis
3704,Afterglow,Fallen Light,Phaeleh
4210,I Wanna Know,My Name Is Joe,Joe
10830,Until The End Of Time (with Beyoncé),FutureSex/LoveSounds Deluxe Edition,Justin Timberlake
2699,Lies,Emergence,Trifonic
4374,Santa Rosa,Ninth Wave,Trifonic
9652,Greenland,Safe In the Steep Cliffs,Emancipator
9658,Nevergreen,Safe In the Steep Cliffs,Emancipator
8277,The A Team,+,Ed Sheeran
8009,This,+,Ed Sheeran
8012,Kiss Me,+,Ed Sheeran
8013,Give Me Love,+,Ed Sheeran
10492,Dance With My Father,Dance With My Father,Luther Vandross
2292,Endless Love (with Mariah Carey),Songs,Luther Vandross
9782,No Grey,The Love Collection,The Neighbourhood
10250,Under Control (feat. Hurts),Motion,Calvin Harris
6315,Untouchable,Untouchable,Cash Cash
10256,Summer,Motion,Calvin Harris
10251,Blame (feat. John Newman),Motion,Calvin Harris
477,Inside Out,Inside Out,Charlee
7381,Closer,Closer,The Chainsmokers
9187,Rude - Zedd Remix,Rude (Zedd Remix),Zedd
9611,Paris,Memories...Do Not Open,The Chainsmokers
5576,Dying for You (feat. Alex Aris) - Radio Edit,Dying For You (feat. Alex Aris),Lindsey Stirling
9607,Don't Say,Memories...Do Not Open,The Chainsmokers
2776,Symphony (feat. Zara Larsson) - Cash Cash Remix,Symphony (feat. Zara Larsson) [Cash Cash Remix],Clean Bandit
1664,Where The Green Grass Grows,Everywhere,Tim McGraw
1607,My Next Thirty Years,A Place In The Sun,Tim McGraw
5650,Better Than I Used To Be,Emotional Traffic,Tim McGraw
1601,Indian Outlaw,Not A Moment Too Soon,Tim McGraw
5638,Red Ragtop,Tim McGraw And The Dancehall Doctors,Tim McGraw
1603,Don't Take The Girl,Not A Moment Too Soon,Tim McGraw
675,1985,A Hangover You Don't Deserve,Bowling For Soup
174,Rather Hate Than Hurt,When The Smoke Clears,Hinder
175,I Need Another Drink,When The Smoke Clears,Hinder
3380,California - Tchad Blake Mix,The Guest,Phantom Planet
8394,Heavydirtysoul,Blurryface,Twenty One Pilots
8405,Doubt,Blurryface,Twenty One Pilots
10795,Heathens,Heathens,Twenty One Pilots
10866,"Trashwang (feat. Na' kel, Jasper Dolphin, Lucas, L-Boy, Taco, Left Brain & Lee Spielman)",Wolf,"Tyler, The Creator"
10856,Domo23,Wolf,"Tyler, The Creator"
11211,Chum,Doris,Earl Sweatshirt
11210,Hive (feat. Vince Staples & Casey Veggies),Doris,Earl Sweatshirt
1437,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
956,goosebumps,Birds In The Trap Sing McKnight,Travis Scott
7925,Get Right Witcha,Culture,Migos
11008,"Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!)",Cozy Tapes: Vol. 1 Friends -,A$AP Mob
7843,T-Shirt,Culture,Migos
531,Let Em' Know,T R A P S O U L,Bryson Tiller
1085,Back In Black,Back In Black,AC/DC
6013,Thunderstruck,The Razors Edge,AC/DC
1086,You Shook Me All Night Long,Back In Black,AC/DC
1073,When We Were Young,25,Adele
1070,Hello,25,Adele
10674,Set Fire to the Rain,21,Adele
10679,Someone Like You,21,Adele
1532,Rolling in the Deep,21,Adele
5613,Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction
5614,Perfect,Made In The A.M. (Deluxe Edition),One Direction
6359,Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,AC/DC
4083,Eye of the Tiger,Eye Of The Tiger,Survivor
3640,Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),Meghan Trainor
9517,I Will Always Love You,The Bodyguard - Original Soundtrack Album,Whitney Houston
6576,Fast Car,Tracy Chapman,Tracy Chapman
927,Don't Stop Believin',Escape,Journey
11429,Should I Stay or Should I Go - Remastered,Combat Rock (Remastered),The Clash
11430,Rock the Casbah - Remastered,Combat Rock (Remastered),The Clash
9086,Piano Man,Piano Man,Billy Joel
212,Thunder Road,Born To Run,Bruce Springsteen
482,Rosalita (Come Out Tonight),"The Wild, the Innocent & The E Street Shuffle",Bruce Springsteen
798,Don't Bring Me Down,Discovery,Electric Light Orchestra
897,Evil Woman,Flashback,Electric Light Orchestra
809,Mr. Blue Sky,Out of the Blue,Electric Light Orchestra
9129,Love Never Felt So Good,XSCAPE,Michael Jackson
3235,Dashboard,We Were Dead Before The Ship Even Sank,Modest Mouse
3577,Looking for Space,Windsong,John Denver
6243,I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston
9518,I Have Nothing,The Bodyguard - Original Soundtrack Album,Whitney Houston
1609,Girls Just Want to Have Fun,She's So Unusual,Cyndi Lauper
10406,Jump - 2015 Remaster,1984 (Remastered),Van Halen
1017,Right Now,For Unlawful Carnal Knowledge,Van Halen
683,Jessie's Girl,Working Class Dog,Rick Springfield
883,Your Love,Play Deep,The Outfield
6128,Only the Good Die Young,The Stranger (Legacy Edition),Billy Joel
6032,Da Ya Think I'm Sexy?,Blondes Have More Fun,Rod Stewart
6516,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Bookends,Simon & Garfunkel
6496,Try a Little Tenderness,Complete & Unbelievable: The Otis Redding Dictionary of Soul,Otis Redding
9233,Man in the Mirror - 2012 Remaster,Bad 25th Anniversary,Michael Jackson
1622,The Way It Is,The Way It Is,Bruce Hornsby
7540,Kiss on My List,Voices,Daryl Hall & John Oates
1938,Here Comes the Rain Again - Remastered Version,Touch (Reissue - Deluxe Edition),Eurythmics
10469,Wishing (If I Had a Photograph of You),We Are The '80s,A Flock Of Seagulls
518,Automatic,Break Out,The Pointer Sisters
4108,Everything She Wants,Make It Big,Wham!
9211,Let's Go Crazy,Purple Rain,Prince
9329,I Can't Go for That (No Can Do),Private Eyes (Expanded Edition),Daryl Hall & John Oates
8477,Juicy Fruit,Club Epic,Mtume
4726,Africa,Toto IV,TOTO
1559,Method of Modern Love,Big Bam Boom,Daryl Hall & John Oates
1558,Out of Touch - Video Mix,Big Bam Boom,Daryl Hall & John Oates
7577,Take on Me,Hunting High and Low,a-ha
1611,Time After Time,She's So Unusual,Cyndi Lauper
5653,Forever Young,Forever Young,Alphaville
11421,Der Kommissar,Radio Hits Of the '80s,Pseudo Echo
9868,Georgy Porgy,Toto,TOTO
9139,Waiting for a Girl like You,4 (Expanded),Foreigner
10510,With Them,Slime Season 3,Young Thug
1440,Fashion Killa,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
18,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",AT.LONG.LAST.A$AP,A$AP Rocky
10514,Digits,Slime Season 3,Young Thug
7073,This Is What You Came For (feat. Rihanna),This Is What You Came For (feat. Rihanna),Rihanna
11017,Go! (feat. Mai Lan),Junk,M83
10687,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris
6916,Landslide,Home,The Chicks
5517,Just Got Started Lovin' You,Sunset Man (Standard Version),James Otto
4121,Summertime,The Road And The Radio,Kenny Chesney
11158,Heartbeat,Storyteller,Carrie Underwood
5773,Think of You,I'm Comin' Over,Chris Young
3529,Hard To Love,Hard 2 Love,Lee Brice
9992,Hurricane,This One's for You,Luke Combs
8925,80s Mercedes,HERO (Deluxe Edition),Maren Morris
9565,Mean to Me,Bring You Back,Brett Eldredge
11080,Wide Open Spaces,Wide Open Spaces,The Chicks
6338,Independence Day,The Way That I Am,Martina McBride
126,The House That Built Me,Revolution,Miranda Lambert
9569,Lose My Mind,Illinois,Brett Eldredge
9559,Don't Ya,Bring You Back,Brett Eldredge
9575,Drunk on Your Love,Illinois,Brett Eldredge
9564,Beat of the Music,Bring You Back,Brett Eldredge
10158,Kiss You in the Morning,Michael Ray,Michael Ray
80,More Like Her,Crazy Ex-Girlfriend,Miranda Lambert
5288,Slow Motion,Trigga Reloaded,Trey Songz
534,Don't,T R A P S O U L,Bryson Tiller
11047,My Way (feat. Monty),Fetty Wap (Deluxe),Fetty Wap
5,L$D,AT.LONG.LAST.A$AP,A$AP Rocky
5242,idfc,deadroses,blackbear
689,3500 (feat. Future & 2 Chainz),Rodeo (Expanded Edition),Travis Scott
8675,Hard For,Islah (Deluxe),Kevin Gates
8116,Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),Spooks
8673,Time for That,Islah (Deluxe),Kevin Gates
8694,End of Time,4,Beyoncé
8688,Countdown,4,Beyoncé
9182,Rush,Por Vida,Kali Uchis
9185,Loner,Por Vida,Kali Uchis
9181,Know What I Want,Por Vida,Kali Uchis
9184,Speed,Por Vida,Kali Uchis
10983,Special Affair,Ego Death,The Internet
10678,Lovesong,21,Adele
1116,Heaven,BEYONCÉ [Platinum Edition],Beyoncé
1112,Mine (feat. Drake),BEYONCÉ [Platinum Edition],Beyoncé
9309,Black Sheep,Black Sheep,Metric
1232,How to Save a Life,How To Save A Life,The Fray
7707,Love Train,Back Stabbers,The O'Jays
3802,Slow Dancing in a Burning Room,Continuum,John Mayer
3795,Waiting On the World to Change,Continuum,John Mayer
7116,My Way,My Way,Calvin Harris
9323,You Got It,Mystery Girl,Roy Orbison
9609,My Type,Memories...Do Not Open,The Chainsmokers
9608,Something Just Like This,Memories...Do Not Open,The Chainsmokers
9604,The One,Memories...Do Not Open,The Chainsmokers
8558,Hymn,Rainbow,Kesha
8559,Praying,Rainbow,Kesha
11379,Want the World,Mixed Feelings,Bazanji
3,Canal St. (feat. Bones),AT.LONG.LAST.A$AP,A$AP Rocky
1435,Hell (feat. Santigold),LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
5534,I Don't Mind (feat. Juicy J),I Don't Mind (feat. Juicy J),Juicy J
11040,Trap Queen,Fetty Wap (Deluxe),Fetty Wap
6,Excuse Me,AT.LONG.LAST.A$AP,A$AP Rocky
10373,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE
1910,Hallucinating,HNDRXX,Future
1890,My Collection,HNDRXX,Future
1906,Testify,HNDRXX,Future
1914,Selfish (feat. Rihanna),HNDRXX,Future
8279,Chanel,Chanel,Frank Ocean
7932,Kelly Price (feat. Travis Scott),Culture,Migos
8393,Say Less,Say Less,Dillon Francis
977,Running Back (feat. Lil Wayne),Shine,Wale
7280,Penthouse Floor (feat. Chance the Rapper),DARKNESS AND LIGHT,John Legend
8406,Polarize,Blurryface,Twenty One Pilots
1499,Mama,The Black Parade,My Chemical Romance
1501,Teenagers,The Black Parade,My Chemical Romance
6771,Don't Mind,Don't Mind,Kent Jones
6520,Uber Everywhere,Uber Everywhere,MadeinTYO
532,Exchange,T R A P S O U L,Bryson Tiller
1988,Antidote,No Label II,Migos
8448,Don't Talk to Strangers,Success Hasn't Spoiled Me,Rick Springfield
6691,Conga!,Primitive Love,Miami Sound Machine
6940,Broken Wings - Single Version,The Best of Mr. Mister,Mr. Mister
561,I'm So Excited,So Excited! (Expanded Edition),The Pointer Sisters
9335,1999,1999,Prince
2612,What I Like About You,The Romantics,The Romantics
4107,Wake Me Up Before You Go-Go,Make It Big,Wham!
885,Turn Me Loose,Loverboy,Loverboy
11222,The Groove Line,Central Heating,Heatwave
904,Little Lies - 2017 Remaster,Tango In the Night (Deluxe Edition),Fleetwood Mac
10303,You Can Call Me Al,Graceland (25th Anniversary Deluxe Edition),Paul Simon
9236,Smooth Criminal - 2012 Remaster,Bad 25th Anniversary,Michael Jackson
9869,Hold the Line,Toto,TOTO
6054,Two Tickets to Paradise,Eddie Money,Eddie Money
796,Last Train to London,Discovery,Electric Light Orchestra
9369,Step by Step,Step By Step,New Kids On The Block
9531,Copacabana (At the Copa) - Long Version,Even Now,Barry Manilow
3528,Let The Music Play,The Best Is Yet To Come,Shannon
963,Big Shot,52nd Street,Billy Joel
4028,Dream On,Aerosmith,Aerosmith
10266,Stairway to Heaven - Remaster,Led Zeppelin IV (Deluxe Edition),Led Zeppelin
9137,Juke Box Hero,4 (Expanded),Foreigner
1268,Californication,Californication (Deluxe Edition),Red Hot Chili Peppers
8199,All Along the Watchtower,Electric Ladyland,Jimi Hendrix
6610,Black,Ten,Pearl Jam
1266,Otherside,Californication (Deluxe Edition),Red Hot Chili Peppers
8365,Better Man,Vitalogy,Pearl Jam
1989,Fight Night,No Label II,Migos
1438,Wild for the Night (feat. Skrillex & Birdy Nam Nam),LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
1444,Ghetto Symphony (feat. Gunplay & A$AP Ferg),LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
8812,Boss,Lil Pump,Lil Pump
1917,PIE (feat. Chris Brown),HNDRXX,Future
8456,Plain Jane,Still Striving,A$AP Ferg
952,beibs in the trap,Birds In The Trap Sing McKnight,Travis Scott
1445,Angels,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
8,Lord Pretty Flacko Jodye 2 (LPFJ2),AT.LONG.LAST.A$AP,A$AP Rocky
1432,Goldie,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
6273,All I Want for Christmas Is You,Merry Christmas,Mariah Carey
6275,Christmas (Baby Please Come Home),Merry Christmas,Mariah Carey
6279,Santa Claus Is Comin' to Town,Merry Christmas,Mariah Carey
7213,It's Beginning to Look a Lot like Christmas,Christmas,Michael Bublé
7216,White Christmas (with Shania Twain),Christmas,Michael Bublé
7214,Santa Claus Is Coming to Town,Christmas,Michael Bublé
7219,Santa Baby,Christmas,Michael Bublé
7220,Have Yourself a Merry Little Christmas,Christmas,Michael Bublé
6272,Silent Night,Merry Christmas,Mariah Carey
6636,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Santa Claus Is Comin' to Town (Live at C.W. Post College, Greenvale, NY - December 1975)",Bruce Springsteen
8894,Blue Christmas,Elvis' Christmas Album,Elvis Presley
5277,Let It Snow (Glee Cast Version),"Glee: The Music, The Complete Season Three",Glee Cast
5278,Santa Claus Is Coming to Town (Glee Cast Version),"Glee: The Music, The Complete Season Three",Glee Cast
5279,Christmas Wrapping (Glee Cast Version),"Glee: The Music, The Complete Season Three",Glee Cast
5274,Blue Christmas (Glee Cast Version),"Glee: The Music, The Complete Season Three",Glee Cast
5000,Jingle Bell Rock,"Glee: The Music, The Christmas Album Vol. 3",Glee Cast
5001,White Christmas (Glee Cast Version),"Glee: The Music, The Christmas Album Vol. 3",Glee Cast
5002,Have Yourself A Merry Little Christmas (Glee Cast Version),"Glee: The Music, The Christmas Album Vol. 3",Glee Cast
5003,Silent Night (Glee Cast Version),"Glee: The Music, The Christmas Album Vol. 3",Glee Cast
5004,Joy To The World (Glee Cast Version),"Glee: The Music, The Christmas Album Vol. 3",Glee Cast
5005,The First Noel (Glee Cast Version),"Glee: The Music, The Christmas Album Vol. 3",Glee Cast
4996,I'll Be Home For Christmas (Glee Cast Version),"Glee: The Music, The Christmas Album Vol. 3",Glee Cast
9479,Hark! The Herald Angels Sing,That's Christmas To Me (Deluxe Edition),Pentatonix
9489,Joy to the World,That's Christmas To Me (Deluxe Edition),Pentatonix
6654,Angels We Have Heard on High,PTXmas (Deluxe Edition),Pentatonix
7552,Silver Bells,The Dean Martin Christmas Album,Dean Martin
5588,Knights of Cydonia,Black Holes and Revelations,Muse
11471,Rhiannon,Fleetwood Mac,Fleetwood Mac
10396,It Ain't Me Babe,Another Side Of Bob Dylan,Bob Dylan
7573,Crazy Mary (Remastered),Vs.,Pearl Jam
8363,Nothingman - Remastered,Vitalogy,Pearl Jam
2105,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Nile Rodgers
5213,Sweater Weather,I Love You.,The Neighbourhood
6611,Jeremy,Ten,Pearl Jam
9583,Criminal,Tidal,Fiona Apple
5492,Lose Yourself to Dance (feat. Pharrell Williams),Random Access Memories,Daft Punk
9188,Faith - Remastered,Faith,George Michael
300,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Platinum & Gold Collection,Jennifer Warnes
5865,Uptown Girl,An Innocent Man,Billy Joel
5555,Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears
5283,Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This),Eurythmics
2939,Head Underwater,The Voyager,Jenny Lewis
2940,She's Not Me,The Voyager,Jenny Lewis
2941,Just One of the Guys,The Voyager,Jenny Lewis
2942,Slippery Slopes,The Voyager,Jenny Lewis
2943,Late Bloomer,The Voyager,Jenny Lewis
2944,You Can't Outrun 'Em,The Voyager,Jenny Lewis
2945,The New You,The Voyager,Jenny Lewis
2946,Aloha & the Three Johns,The Voyager,Jenny Lewis
2947,Love U Forever,The Voyager,Jenny Lewis
2948,The Voyager,The Voyager,Jenny Lewis
2732,You Are the Best Thing,Gossip In The Grain,Ray LaMontagne
8685,Love On Top,4,Beyoncé
8667,Oceans Away,GALLERY,A R I Z O N A
7832,Good Life (with G-Eazy & Kehlani),Good Life (with G-Eazy & Kehlani),G-Eazy
5240,90210 (feat. G-Eazy),deadroses,blackbear
8580,Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,Diplo
8170,I Love You so Much (feat. Chance the Rapper),Grateful,DJ Khaled
8192,Dante's Creek,Nü Religion: HYENA,THEY.
2813,Glorious (feat. Skylar Grey),GEMINI,Macklemore
9120,Love Never Felt So Good,XSCAPE,Michael Jackson
9121,Loving You,XSCAPE,Michael Jackson
9132,Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix,112,112
2553,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Where I Wanna Be,Donell Jones
5494,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Random Access Memories,Daft Punk
6700,Say My Name,The Writing's On The Wall,Destiny's Child
5521,Señorita,Justified,Justin Timberlake
9097,A Sky Full of Stars,Ghost Stories,Coldplay
2740,"So Fresh, So Clean",Stankonia,Outkast
9742,Tha Crossroads,E. 1999 Eternal,Bone Thugs-N-Harmony
2779,How Will I Know,Whitney Houston,Whitney Houston
71,I Say a Little Prayer,Aretha Now,Aretha Franklin
8438,Shut Up and Dance,TALKING IS HARD,WALK THE MOON
2036,She's so High,Tal Bachman,Tal Bachman
5897,Tangled up in Blue,Blood On The Tracks,Bob Dylan
7160,Suspicious Minds,From Elvis in Memphis,Elvis Presley
3849,From a Buick 6,Highway 61 Revisited,Bob Dylan
2539,Shake Real Low,The King Khan & BBQ Show,The King Khan & BBQ Show
5912,"Don't Think Twice, It's All Right",The Freewheelin' Bob Dylan,Bob Dylan
3858,I Need Seed,Castlemania,Thee Oh Sees
2590,Nashville Skyline Rag,Nashville Skyline,Bob Dylan
9759,Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon
3851,Queen Jane Approximately,Highway 61 Revisited,Bob Dylan
3190,Caesar,Melted,Ty Segall
10291,Spoilin' for a Fight,Black Ice,AC/DC
9709,Emission Control,Rock or Bust,AC/DC
10293,Stormy May Day,Black Ice,AC/DC
782,Bark at the Moon,Bark At The Moon (Expanded Edition),Ozzy Osbourne
6417,Rock 'N' Roll Damnation,Powerage,AC/DC
10437,Night Prowler,Highway to Hell,AC/DC
10290,War Machine,Black Ice,AC/DC
1937,Here I Go Again - Radio Mix,Whitesnake (30th Anniversary Super Deluxe Edition),Whitesnake
10400,Shake Your Foundations,Fly On the Wall,AC/DC
6014,Moneytalks,The Razors Edge,AC/DC
10433,Shot Down in Flames,Highway to Hell,AC/DC
5661,Stranglehold,Ted Nugent,Ted Nugent
1081,Hells Bells,Back In Black,AC/DC
10429,Girls Got Rhythm,Highway to Hell,AC/DC
9705,Rock the Blues Away,Rock or Bust,AC/DC
6404,Stiff Upper Lip,Stiff Upper Lip,AC/DC
10263,Black Dog - Remaster,Led Zeppelin IV (Deluxe Edition),Led Zeppelin
7902,18 and Life,Skid Row,Skid Row
